idx,r,g,b,a,VIS,MSH,label,row
74,245,134,133,1.0,1.0,1.0,VISl6a,69.0
75,101,25,79,1.0,1.0,1.0,DT,70.0
76,64,234,248,1.0,1.0,1.0,INV,71.0
77,171,232,169,1.0,1.0,1.0,SPVOcdm,72.0
78,64,80,201,1.0,1.0,1.0,mcp,73.0
79,35,81,88,1.0,1.0,1.0,PVHmm,74.0
80,136,40,170,1.0,1.0,1.0,AHA,75.0
81,139,93,19,1.0,1.0,1.0,VL,76.0
82,67,30,15,1.0,1.0,1.0,NLLd,77.0
83,200,6,1,1.0,1.0,1.0,IO,78.0
84,113,217,200,1.0,1.0,1.0,PL6a,79.0
85,95,95,52,1.0,1.0,1.0,sct,80.0
86,81,49,8,1.0,1.0,1.0,mtc,81.0
87,164,184,231,1.0,1.0,1.0,PVHmpd,82.0
88,81,29,249,1.0,1.0,1.0,AHN,83.0
89,48,57,218,1.0,1.0,1.0,RC,84.0
90,168,7,215,1.0,1.0,1.0,NLLh,85.0
91,101,110,163,1.0,1.0,1.0,IP,86.0
92,186,207,30,1.0,1.0,1.0,ENTl4,87.0
93,58,193,69,1.0,1.0,1.0,moV,88.0
94,228,109,151,1.0,1.0,1.0,PVHp,89.0
95,175,136,70,1.0,1.0,1.0,AI,90.0
96,47,47,219,1.0,1.0,1.0,DCO,91.0
97,40,92,107,1.0,1.0,1.0,TEa1,92.0
98,254,53,168,1.0,1.0,1.0,SEZ,93.0
99,111,128,38,1.0,1.0,1.0,NLLv,94.0
100,62,50,14,1.0,1.0,1.0,IPN,95.0
101,211,148,243,1.0,1.0,1.0,VCO,96.0
102,160,204,22,1.0,1.0,1.0,nst,97.0
103,237,192,86,1.0,1.0,1.0,PVHpm,98.0
104,143,136,181,1.0,1.0,1.0,AId,99.0
105,45,132,51,1.0,1.0,1.0,SOCm,100.0
106,232,100,89,1.0,1.0,1.0,ISN,101.0
107,160,181,37,1.0,1.0,1.0,MO1,102.0
108,158,46,14,1.0,1.0,1.0,chpl,103.0
109,216,209,218,1.0,1.0,1.0,ntt,104.0
110,180,217,26,1.0,1.0,1.0,PVHpv,105.0
111,212,27,162,1.0,1.0,1.0,AIp,106.0
112,36,17,18,1.0,1.0,1.0,CNlam,107.0
113,9,104,9,1.0,1.0,1.0,SSp-ll2/3,108.0
114,172,235,195,1.0,1.0,1.0,SOCl,109.0
115,45,133,54,1.0,1.0,1.0,IV,110.0
116,243,152,48,1.0,1.0,1.0,chfl,111.0
117,230,221,138,1.0,1.0,1.0,och,112.0
118,72,15,114,1.0,1.0,1.0,PVi,113.0
119,113,126,230,1.0,1.0,1.0,AIv,114.0
120,176,241,220,1.0,1.0,1.0,AIp1,115.0
121,32,122,143,1.0,1.0,1.0,VISl6b,116.0
122,208,214,152,1.0,1.0,1.0,POR,117.0
123,18,146,21,1.0,1.0,1.0,KF,118.0
124,238,44,186,1.0,1.0,1.0,IVF,119.0
125,171,136,193,1.0,1.0,1.0,opt,120.0
126,41,252,65,1.0,1.0,1.0,PVp,121.0
127,201,31,197,1.0,1.0,1.0,AM,122.0
128,202,216,134,1.0,1.0,1.0,MRN,123.0
129,20,197,19,1.0,1.0,1.0,V3,124.0
130,195,194,120,1.0,1.0,1.0,CSm,125.0
131,36,210,210,1.0,1.0,1.0,LA,126.0
132,16,240,171,1.0,1.0,1.0,PL6b,127.0
133,94,78,94,1.0,1.0,1.0,PVpo,128.0
134,245,217,25,1.0,1.0,1.0,ptf,129.0
135,5,173,61,1.0,1.0,1.0,AMB,130.0
136,151,208,107,1.0,1.0,1.0,IRN,131.0
137,124,222,165,1.0,1.0,1.0,CSl,132.0
138,93,91,159,1.0,1.0,1.0,LAT,133.0
139,38,79,58,1.0,1.0,1.0,ENTl5,134.0
140,187,47,248,1.0,1.0,1.0,AQ,135.0
141,19,32,31,1.0,1.0,1.0,PVR,136.0
142,188,106,207,1.0,1.0,1.0,pap,137.0
143,214,24,203,1.0,1.0,1.0,AMBv,138.0
144,10,97,221,1.0,1.0,1.0,OT1-3,139.0
145,233,93,182,1.0,1.0,1.0,V4,140.0
146,104,156,218,1.0,1.0,1.0,PRNr,141.0
147,226,23,14,1.0,1.0,1.0,LC,142.0
148,109,34,145,1.0,1.0,1.0,GU4,143.0
149,94,98,66,1.0,1.0,1.0,PVT,144.0
150,4,210,203,1.0,1.0,1.0,pvbh,145.0
151,68,133,37,1.0,1.0,1.0,AOB,146.0
152,248,58,24,1.0,1.0,1.0,PIR1-3,147.0
153,24,122,221,1.0,1.0,1.0,V4r,148.0
154,52,219,33,1.0,1.0,1.0,PHY,149.0
155,104,8,248,1.0,1.0,1.0,LD,150.0
156,235,7,71,1.0,1.0,1.0,AUDd6a,151.0
157,2,180,210,1.0,1.0,1.0,PVZ,152.0
158,212,222,5,1.0,1.0,1.0,pc,153.0
159,83,3,207,1.0,1.0,1.0,AON,154.0
160,41,113,0,1.0,1.0,1.0,AON1,155.0
161,70,4,29,1.0,1.0,1.0,NIS,156.0
162,125,109,51,1.0,1.0,1.0,LDT,157.0
163,134,85,94,1.0,1.0,1.0,AIp2/3,158.0
164,131,28,217,1.0,1.0,1.0,c,159.0
165,132,55,182,1.0,1.0,1.0,RAmb,160.0
166,45,13,212,1.0,1.0,1.0,pmx,161.0
167,160,38,164,1.0,1.0,1.0,AONd,162.0
168,124,159,137,1.0,1.0,1.0,AON2,163.0
169,49,208,171,1.0,1.0,1.0,PRP,164.0
170,54,214,200,1.0,1.0,1.0,LGd,165.0
171,219,254,174,1.0,1.0,1.0,PL1,166.0
173,117,222,70,1.0,1.0,1.0,RCH,167.0
174,31,49,101,1.0,1.0,1.0,poc,168.0
175,80,33,196,1.0,1.0,1.0,AONe,169.0
177,99,217,238,1.0,1.0,1.0,NR,170.0
178,87,238,51,1.0,1.0,1.0,LGv,171.0
179,148,61,89,1.0,1.0,1.0,ACA6a,172.0
180,6,75,190,1.0,1.0,1.0,GU2/3,173.0
181,12,21,70,1.0,1.0,1.0,RE,174.0
182,109,32,94,1.0,1.0,1.0,php,175.0
183,109,204,12,1.0,1.0,1.0,AONl,176.0
184,150,74,60,1.0,1.0,1.0,FRP,177.0
185,210,182,179,1.0,1.0,1.0,PPYd,178.0
186,155,61,119,1.0,1.0,1.0,LH,179.0
187,119,29,93,1.0,1.0,1.0,GU5,180.0
188,62,233,208,1.0,1.0,1.0,AOBgl,181.0
189,250,248,55,1.0,1.0,1.0,RH,182.0
190,67,5,244,1.0,1.0,1.0,py,183.0
191,106,4,195,1.0,1.0,1.0,AONm,184.0
192,142,31,248,1.0,1.0,1.0,COAa1,185.0
193,34,250,72,1.0,1.0,1.0,PPYs,186.0
194,172,19,252,1.0,1.0,1.0,LHA,187.0
195,213,137,251,1.0,1.0,1.0,PL2,188.0
196,22,144,236,1.0,1.0,1.0,AOBgr,189.0
197,248,171,49,1.0,1.0,1.0,RL,190.0
198,114,151,53,1.0,1.0,1.0,pyd,191.0
199,247,1,9,1.0,1.0,1.0,AONpv,192.0
200,218,213,192,1.0,1.0,1.0,COAa2,193.0
201,175,211,4,1.0,1.0,1.0,SSp-bfd2/3,194.0
202,132,124,112,1.0,1.0,1.0,MV,195.0
203,85,47,4,1.0,1.0,1.0,LIN,196.0
204,203,73,72,1.0,1.0,1.0,AOBmi,197.0
205,35,245,91,1.0,1.0,1.0,rstl,198.0
206,237,243,71,1.0,1.0,1.0,RM,199.0
207,43,31,54,1.0,1.0,1.0,AP,200.0
208,98,218,219,1.0,1.0,1.0,COAa3,201.0
209,26,221,240,1.0,1.0,1.0,LAV,202.0
210,231,29,249,1.0,1.0,1.0,LM,203.0
211,96,119,144,1.0,1.0,1.0,ACAd2/3,204.0
212,176,77,30,1.0,1.0,1.0,MOBgl,205.0
213,127,61,201,1.0,1.0,1.0,rstm,206.0
214,4,36,200,1.0,1.0,1.0,RN,207.0
215,102,124,95,1.0,1.0,1.0,APN,208.0
216,23,167,97,1.0,1.0,1.0,COApl1,209.0
217,35,96,31,1.0,1.0,1.0,SUV,210.0
218,22,151,102,1.0,1.0,1.0,LP,211.0
219,228,6,226,1.0,1.0,1.0,MO2/3,212.0
220,171,16,2,1.0,1.0,1.0,MOBgr,213.0
221,44,239,33,1.0,1.0,1.0,rrt,214.0
222,115,202,57,1.0,1.0,1.0,RO,215.0
223,220,254,74,1.0,1.0,1.0,ARH,216.0
224,243,235,205,1.0,1.0,1.0,COApl2,217.0
225,122,115,132,1.0,1.0,1.0,SPIV,218.0
226,209,188,97,1.0,1.0,1.0,LPO,219.0
227,134,6,219,1.0,1.0,1.0,ACA6b,220.0
228,47,92,66,1.0,1.0,1.0,MOBipl,221.0
229,182,163,170,1.0,1.0,1.0,sV,222.0
230,71,25,187,1.0,1.0,1.0,RPA,223.0
231,90,59,116,1.0,1.0,1.0,AT,224.0
232,120,185,129,1.0,1.0,1.0,COApl3,225.0
233,59,75,176,1.0,1.0,1.0,VISal5,226.0
234,168,74,147,1.0,1.0,1.0,TEa4,227.0
235,192,142,118,1.0,1.0,1.0,LRN,228.0
236,162,149,11,1.0,1.0,1.0,MOBmi,229.0
237,237,131,249,1.0,1.0,1.0,ts,230.0
238,194,63,165,1.0,1.0,1.0,RPO,231.0
239,115,58,124,1.0,1.0,1.0,ATN,232.0
240,166,2,127,1.0,1.0,1.0,COApm1,233.0
241,14,244,15,1.0,1.0,1.0,PTLp2/3,234.0
242,180,196,88,1.0,1.0,1.0,LS,235.0
243,214,147,189,1.0,1.0,1.0,AUDd6b,236.0
244,132,92,4,1.0,1.0,1.0,MOBopl,237.0
245,99,157,134,1.0,1.0,1.0,scrt,238.0
246,239,250,152,1.0,1.0,1.0,RR,239.0
247,226,39,134,1.0,1.0,1.0,AUD,240.0
248,88,202,170,1.0,1.0,1.0,COApm2,241.0
249,56,19,118,1.0,1.0,1.0,AUDpo6a,242.0
250,29,85,199,1.0,1.0,1.0,LSc,243.0
251,67,110,177,1.0,1.0,1.0,AUDp2/3,244.0
252,99,77,16,1.0,1.0,1.0,AUDd5,245.0
253,21,24,193,1.0,1.0,1.0,shp,246.0
254,242,150,182,1.0,1.0,1.0,RSP,247.0
255,64,183,63,1.0,1.0,1.0,AV,248.0
256,72,83,36,1.0,1.0,1.0,COApm3,249.0
257,251,25,212,1.0,1.0,1.0,VISpm6a,250.0
258,119,185,50,1.0,1.0,1.0,LSr,251.0
259,80,244,227,1.0,1.0,1.0,ENTmv1,252.0
260,239,194,88,1.0,1.0,1.0,NLOT1,253.0
261,246,42,62,1.0,1.0,1.0,sop,254.0
262,242,218,138,1.0,1.0,1.0,RT,255.0
263,223,34,50,1.0,1.0,1.0,AVP,256.0
264,224,191,121,1.0,1.0,1.0,ORB1,257.0
266,222,80,203,1.0,1.0,1.0,LSv,258.0
267,87,249,226,1.0,1.0,1.0,DP6a,259.0
268,156,202,114,1.0,1.0,1.0,NLOT2,260.0
269,92,210,2,1.0,1.0,1.0,VISpl2/3,261.0
270,138,113,226,1.0,1.0,1.0,srp,262.0
271,106,170,140,1.0,1.0,1.0,SAG,263.0
272,39,183,138,1.0,1.0,1.0,AVPV,264.0
274,71,218,63,1.0,1.0,1.0,RSPd6a,265.0
275,190,79,102,1.0,1.0,1.0,LSX,266.0
276,126,27,117,1.0,1.0,1.0,PIR1,267.0
277,104,99,130,1.0,1.0,1.0,stp,268.0
278,138,179,1,1.0,1.0,1.0,sAMY,269.0
279,94,134,141,1.0,1.0,1.0,RSPagl6b,270.0
280,191,144,8,1.0,1.0,1.0,B,271.0
281,26,184,3,1.0,1.0,1.0,VISam1,272.0
283,142,23,64,1.0,1.0,1.0,LTN,273.0
284,35,205,78,1.0,1.0,1.0,PIR2,274.0
285,235,61,167,1.0,1.0,1.0,step,275.0
286,194,83,222,1.0,1.0,1.0,SCH,276.0
287,173,106,246,1.0,1.0,1.0,BAC,277.0
288,159,238,169,1.0,1.0,1.0,ORBvl2/3,278.0
289,31,41,117,1.0,1.0,1.0,TEa5,279.0
290,41,192,133,1.0,1.0,1.0,LZ,280.0
291,49,129,178,1.0,1.0,1.0,PIR3,281.0
292,17,237,179,1.0,1.0,1.0,BA,282.0
293,186,6,197,1.0,1.0,1.0,svp,283.0
294,176,84,62,1.0,1.0,1.0,SCm,284.0
295,233,221,158,1.0,1.0,1.0,BLA,285.0
296,168,191,146,1.0,1.0,1.0,ACAv2/3,286.0
297,228,69,9,1.0,1.0,1.0,TTd1-4,287.0
298,40,208,251,1.0,1.0,1.0,MA,288.0
299,54,224,251,1.0,1.0,1.0,MO5,289.0
300,89,87,172,1.0,1.0,1.0,LGvl,290.0
301,58,122,25,1.0,1.0,1.0,st,291.0
302,160,134,61,1.0,1.0,1.0,SCs,292.0
303,114,27,174,1.0,1.0,1.0,BLAa,293.0
304,106,21,134,1.0,1.0,1.0,PL2/3,294.0
305,155,85,147,1.0,1.0,1.0,VISp6b,295.0
306,102,9,67,1.0,1.0,1.0,TTv1-3,296.0
307,39,136,209,1.0,1.0,1.0,MARN,297.0
308,99,5,102,1.0,1.0,1.0,PTLp6a,298.0
309,168,192,115,1.0,1.0,1.0,snp,299.0
310,120,183,8,1.0,1.0,1.0,SF,300.0
311,59,185,76,1.0,1.0,1.0,BLAp,301.0
312,174,69,220,1.0,1.0,1.0,ENTl4/5,302.0
313,55,216,91,1.0,1.0,1.0,MB,303.0
314,136,78,179,1.0,1.0,1.0,AIp6a,304.0
315,127,42,134,1.0,1.0,1.0,Isocortex,305.0
316,101,164,136,1.0,1.0,1.0,LGvm,306.0
317,11,24,167,1.0,1.0,1.0,stf,307.0
318,28,191,128,1.0,1.0,1.0,SG,308.0
319,155,39,162,1.0,1.0,1.0,BMA,309.0
320,206,151,176,1.0,1.0,1.0,MOp1,310.0
321,93,124,190,1.0,1.0,1.0,SubG,311.0
322,249,16,54,1.0,1.0,1.0,SSp,312.0
323,15,15,36,1.0,1.0,1.0,MBmot,313.0
324,104,175,0,1.0,1.0,1.0,ENTmv2,314.0
325,101,178,44,1.0,1.0,1.0,SGN,315.0
326,104,129,86,1.0,1.0,1.0,scp,316.0
327,222,239,103,1.0,1.0,1.0,BMAa,317.0
328,251,18,78,1.0,1.0,1.0,AId2/3,318.0
329,65,233,247,1.0,1.0,1.0,SSp-bfd,319.0
330,143,110,103,1.0,1.0,1.0,RSPd6b,320.0
331,37,6,3,1.0,1.0,1.0,MBO,321.0
332,13,87,138,1.0,1.0,1.0,ASO,322.0
333,91,223,202,1.0,1.0,1.0,SH,323.0
334,66,154,69,1.0,1.0,1.0,BMAp,324.0
335,227,116,129,1.0,1.0,1.0,PERI6a,325.0
336,37,127,130,1.0,1.0,1.0,csc,326.0
337,242,241,25,1.0,1.0,1.0,SSp-ll,327.0
338,180,125,70,1.0,1.0,1.0,SFO,328.0
339,94,191,173,1.0,1.0,1.0,MBsen,329.0
340,86,121,124,1.0,1.0,1.0,PTLp6b,330.0
341,35,135,86,1.0,1.0,1.0,smd,331.0
342,101,50,228,1.0,1.0,1.0,SI,332.0
343,152,21,34,1.0,1.0,1.0,BS,333.0
344,231,88,119,1.0,1.0,1.0,AIp5,334.0
345,16,23,84,1.0,1.0,1.0,SSp-m,335.0
346,43,178,47,1.0,1.0,1.0,SSp2/3,336.0
347,59,219,113,1.0,1.0,1.0,SBPV,337.0
348,70,249,100,1.0,1.0,1.0,MBsta,338.0
349,135,131,53,1.0,1.0,1.0,sup,339.0
350,158,79,54,1.0,1.0,1.0,SLC,340.0
351,43,203,145,1.0,1.0,1.0,BST,341.0
352,8,79,1,1.0,1.0,1.0,ORB5,342.0
353,112,199,117,1.0,1.0,1.0,SSp-n,343.0
354,93,113,26,1.0,1.0,1.0,MY,344.0
355,67,76,246,1.0,1.0,1.0,AIp6b,345.0
356,149,171,43,1.0,1.0,1.0,PST,346.0
357,85,95,234,1.0,1.0,1.0,ttp,347.0
358,6,221,78,1.0,1.0,1.0,SLD,348.0
359,13,120,159,1.0,1.0,1.0,BSTa,349.0
360,77,76,17,1.0,1.0,1.0,DP2/3,350.0
361,90,54,211,1.0,1.0,1.0,SSp-tr,351.0
362,136,238,174,1.0,1.0,1.0,MD,352.0
363,166,60,147,1.0,1.0,1.0,PL5,353.0
364,127,97,113,1.0,1.0,1.0,PSTN,354.0
365,210,214,254,1.0,1.0,1.0,tp,355.0
366,188,119,114,1.0,1.0,1.0,SMT,356.0
367,154,167,84,1.0,1.0,1.0,BSTp,357.0
368,23,158,242,1.0,1.0,1.0,PERI6b,358.0
369,59,41,245,1.0,1.0,1.0,SSp-ul,359.0
370,49,82,46,1.0,1.0,1.0,MY-mot,360.0
371,21,222,88,1.0,1.0,1.0,ENTmv3,361.0
372,149,154,14,1.0,1.0,1.0,ICB,362.0
373,32,121,205,1.0,1.0,1.0,tct,363.0
374,16,63,120,1.0,1.0,1.0,SNc,364.0
375,120,159,184,1.0,1.0,1.0,CA,365.0
376,181,182,48,1.0,1.0,1.0,COApl1-3,366.0
377,201,84,165,1.0,1.0,1.0,VISpl6a,367.0
378,198,160,135,1.0,1.0,1.0,SSs,368.0
379,154,232,133,1.0,1.0,1.0,MY-sat,369.0
380,82,95,112,1.0,1.0,1.0,cuf,370.0
381,104,232,87,1.0,1.0,1.0,SNr,371.0
382,129,89,185,1.0,1.0,1.0,CA1,372.0
383,5,118,84,1.0,1.0,1.0,COApm1-3,373.0
384,98,126,45,1.0,1.0,1.0,IVd,374.0
385,129,7,178,1.0,1.0,1.0,VISp,375.0
386,117,193,154,1.0,1.0,1.0,MY-sen,376.0
387,100,26,122,1.0,1.0,1.0,ENTl5/6,377.0
388,210,153,9,1.0,1.0,1.0,grf,378.0
389,235,63,163,1.0,1.0,1.0,sttv,379.0
390,19,87,137,1.0,1.0,1.0,SO,380.0
391,211,80,105,1.0,1.0,1.0,CA1slm,381.0
392,112,173,236,1.0,1.0,1.0,NLOT1-3,382.0
393,103,63,199,1.0,1.0,1.0,VISpl6b,383.0
394,183,60,78,1.0,1.0,1.0,VISam,384.0
395,29,131,200,1.0,1.0,1.0,MDRN,385.0
396,131,211,98,1.0,1.0,1.0,iaf,386.0
397,192,80,252,1.0,1.0,1.0,vtd,387.0
398,47,100,16,1.0,1.0,1.0,SOC,388.0
399,47,77,91,1.0,1.0,1.0,CA1so,389.0
400,200,242,103,1.0,1.0,1.0,PAA1-3,390.0
401,30,235,163,1.0,1.0,1.0,VISam4,391.0
402,90,156,130,1.0,1.0,1.0,VISal,392.0
403,9,168,239,1.0,1.0,1.0,MEA,393.0
404,154,17,8,1.0,1.0,1.0,oct,394.0
405,159,174,244,1.0,1.0,1.0,vlt,395.0
406,161,217,148,1.0,1.0,1.0,SPF,396.0
407,13,117,98,1.0,1.0,1.0,CA1sp,397.0
408,183,113,5,1.0,1.0,1.0,PAA1,398.0
409,161,236,193,1.0,1.0,1.0,VISl,399.0
410,48,233,100,1.0,1.0,1.0,rct,400.0
411,25,107,151,1.0,1.0,1.0,MEAad,401.0
412,6,153,122,1.0,1.0,1.0,ORBl2/3,402.0
413,247,50,73,1.0,1.0,1.0,vVIIIn,403.0
414,227,77,161,1.0,1.0,1.0,SPFm,404.0
415,41,153,4,1.0,1.0,1.0,CA1sr,405.0
416,159,129,76,1.0,1.0,1.0,PAA2,406.0
417,192,174,99,1.0,1.0,1.0,VISrl,407.0
418,140,147,97,1.0,1.0,1.0,MEAav,408.0
419,158,218,213,1.0,1.0,1.0,ENTmv4,409.0
420,217,64,104,1.0,1.0,1.0,db,410.0
421,170,114,171,1.0,1.0,1.0,VISl1,411.0
422,185,108,186,1.0,1.0,1.0,SPFp,412.0
423,116,172,138,1.0,1.0,1.0,CA2,413.0
424,231,136,15,1.0,1.0,1.0,PAA3,414.0
425,102,126,158,1.0,1.0,1.0,VISpl,415.0
426,84,52,185,1.0,1.0,1.0,MEApd,416.0
427,147,249,3,1.0,1.0,1.0,ECT2/3,417.0
428,220,137,89,1.0,1.0,1.0,mct,418.0
429,201,49,143,1.0,1.0,1.0,SPVC,419.0
430,95,229,145,1.0,1.0,1.0,RSPv2/3,420.0
431,65,46,224,1.0,1.0,1.0,CA2slm,421.0
432,2,117,83,1.0,1.0,1.0,NC,422.0
433,104,199,63,1.0,1.0,1.0,VISam5,423.0
434,243,37,87,1.0,1.0,1.0,RSPd2/3,424.0
435,128,222,247,1.0,1.0,1.0,MEApv,425.0
436,59,205,25,1.0,1.0,1.0,fx,426.0
437,194,1,213,1.0,1.0,1.0,SPVI,427.0
438,199,44,91,1.0,1.0,1.0,CA2so,428.0
439,192,17,194,1.0,1.0,1.0,PVHdp,429.0
440,173,187,86,1.0,1.0,1.0,ORBl6a,430.0
441,234,72,119,1.0,1.0,1.0,VISam6b,431.0
442,52,237,152,1.0,1.0,1.0,RSPd1,432.0
443,235,139,86,1.0,1.0,1.0,dhc,433.0
444,168,34,69,1.0,1.0,1.0,MED,434.0
445,195,192,76,1.0,1.0,1.0,SPVO,435.0
446,161,6,43,1.0,1.0,1.0,CA2sp,436.0
447,39,111,126,1.0,1.0,1.0,PVHf,437.0
448,29,85,53,1.0,1.0,1.0,ORBl1,438.0
449,72,44,200,1.0,1.0,1.0,vhc,439.0
450,100,128,74,1.0,1.0,1.0,SSp-ul1,440.0
451,195,123,86,1.0,1.0,1.0,BLAv,441.0
452,246,119,246,1.0,1.0,1.0,MEPO,442.0
453,166,144,172,1.0,1.0,1.0,SS,443.0
454,77,173,105,1.0,1.0,1.0,CA2sr,444.0
455,74,48,157,1.0,1.0,1.0,PVHlp,445.0
456,213,36,88,1.0,1.0,1.0,AUDpo6b,446.0
457,165,180,99,1.0,1.0,1.0,VIS6a,447.0
458,254,143,136,1.0,1.0,1.0,OT1,448.0
459,118,219,96,1.0,1.0,1.0,aolt,449.0
460,242,74,51,1.0,1.0,1.0,MEV,450.0
461,171,226,141,1.0,1.0,1.0,SSp-tr6b,451.0
462,82,20,76,1.0,1.0,1.0,SSN,452.0
463,218,222,69,1.0,1.0,1.0,CA3,453.0
464,127,201,149,1.0,1.0,1.0,PVHmpv,454.0
465,196,153,212,1.0,1.0,1.0,OT2,455.0
466,61,71,49,1.0,1.0,1.0,alv,456.0
467,118,13,54,1.0,1.0,1.0,MEZ,457.0
468,98,49,179,1.0,1.0,1.0,ENTm2a,458.0
469,54,98,157,1.0,1.0,1.0,VISpm6b,459.0
470,96,65,245,1.0,1.0,1.0,STN,460.0
471,224,205,220,1.0,1.0,1.0,CA3slm,461.0
472,195,118,77,1.0,1.0,1.0,MEApd-a,462.0
473,58,240,16,1.0,1.0,1.0,OT3,463.0
474,188,192,111,1.0,1.0,1.0,ab,464.0
475,102,208,180,1.0,1.0,1.0,MG,465.0
476,119,122,249,1.0,1.0,1.0,ORB6a,466.0
477,255,46,209,1.0,1.0,1.0,STR,467.0
478,216,223,165,1.0,1.0,1.0,SSp-ll6a,468.0
479,207,243,149,1.0,1.0,1.0,CA3slu,469.0
480,236,92,111,1.0,1.0,1.0,MEApd-b,470.0
481,71,233,183,1.0,1.0,1.0,isl,471.0
482,139,20,182,1.0,1.0,1.0,bic,472.0
483,129,66,230,1.0,1.0,1.0,MH,473.0
484,80,2,62,1.0,1.0,1.0,ORBm1,474.0
485,111,76,24,1.0,1.0,1.0,STRd,475.0
486,107,95,138,1.0,1.0,1.0,CA3so,476.0
487,179,85,158,1.0,1.0,1.0,MEApd-c,477.0
488,76,154,186,1.0,1.0,1.0,ORBl6b,478.0
489,153,74,65,1.0,1.0,1.0,islm,479.0
490,76,162,45,1.0,1.0,1.0,bct,480.0
491,242,12,63,1.0,1.0,1.0,MM,481.0
492,143,214,197,1.0,1.0,1.0,ORB2/3,482.0
493,251,18,143,1.0,1.0,1.0,STRv,483.0
494,19,229,156,1.0,1.0,1.0,SCig-a,484.0
495,179,225,120,1.0,1.0,1.0,CA3sp,485.0
496,76,47,234,1.0,1.0,1.0,DP1,486.0
