idx,r,g,b,a,VIS,MSH,name
1090,24,128,100,1.0,1.0,1.0,"Supplemental somatosensory area, layer 5"
862,24,128,100,1.0,1.0,1.0,"Supplemental somatosensory area, layer 6a"
893,24,128,100,1.0,1.0,1.0,"Supplemental somatosensory area, layer 6b"
1057,0,156,117,1.0,1.0,1.0,Gustatory areas
36,0,156,117,1.0,1.0,1.0,"Gustatory areas, layer 1"
180,0,156,117,1.0,1.0,1.0,"Gustatory areas, layer 2/3"
148,0,156,117,1.0,1.0,1.0,"Gustatory areas, layer 4"
187,0,156,117,1.0,1.0,1.0,"Gustatory areas, layer 5"
638,0,156,117,1.0,1.0,1.0,"Gustatory areas, layer 6a"
662,0,156,117,1.0,1.0,1.0,"Gustatory areas, layer 6b"
677,17,173,131,1.0,1.0,1.0,Visceral area
897,17,173,131,1.0,1.0,1.0,"Visceral area, layer 1"
1106,17,173,131,1.0,1.0,1.0,"Visceral area, layer 2/3"
1010,17,173,131,1.0,1.0,1.0,"Visceral area, layer 4"
1058,17,173,131,1.0,1.0,1.0,"Visceral area, layer 5"
857,17,173,131,1.0,1.0,1.0,"Visceral area, layer 6a"
849,17,173,131,1.0,1.0,1.0,"Visceral area, layer 6b"
247,1,147,153,1.0,1.0,1.0,Auditory areas
1011,1,147,153,1.0,1.0,1.0,Dorsal auditory area
527,1,147,153,1.0,1.0,1.0,"Dorsal auditory area, layer 1"
600,1,147,153,1.0,1.0,1.0,"Dorsal auditory area, layer 2/3"
678,1,147,153,1.0,1.0,1.0,"Dorsal auditory area, layer 4"
252,1,147,153,1.0,1.0,1.0,"Dorsal auditory area, layer 5"
156,1,147,153,1.0,1.0,1.0,"Dorsal auditory area, layer 6a"
243,1,147,153,1.0,1.0,1.0,"Dorsal auditory area, layer 6b"
480149230,1,147,153,1.0,1.0,1.0,Laterolateral anterior visual area
480149234,1,147,153,1.0,1.0,1.0,"Laterolateral anterior visual area, layer 1"
480149238,1,147,153,1.0,1.0,1.0,"Laterolateral anterior visual area, layer 2/3"
480149242,1,147,153,1.0,1.0,1.0,"Laterolateral anterior visual area, layer 4"
480149246,1,147,153,1.0,1.0,1.0,"Laterolateral anterior visual area,layer 5"
480149250,1,147,153,1.0,1.0,1.0,"Laterolateral anterior visual area, layer 6a"
480149254,1,147,153,1.0,1.0,1.0,"Laterolateral anterior visual area, layer 6b"
1002,1,147,153,1.0,1.0,1.0,Primary auditory area
735,1,147,153,1.0,1.0,1.0,"Primary auditory area, layer 1"
251,1,147,153,1.0,1.0,1.0,"Primary auditory area, layer 2/3"
816,1,147,153,1.0,1.0,1.0,"Primary auditory area, layer 4"
847,1,147,153,1.0,1.0,1.0,"Primary auditory area, layer 5"
954,1,147,153,1.0,1.0,1.0,"Primary auditory area, layer 6a"
1005,1,147,153,1.0,1.0,1.0,"Primary auditory area, layer 6b"
1027,1,147,153,1.0,1.0,1.0,Posterior auditory area
696,1,147,153,1.0,1.0,1.0,"Posterior auditory area, layer 1"
643,1,147,153,1.0,1.0,1.0,"Posterior auditory area, layer 2/3"
759,1,147,153,1.0,1.0,1.0,"Posterior auditory area, layer 4"
791,1,147,153,1.0,1.0,1.0,"Posterior auditory area, layer 5"
249,1,147,153,1.0,1.0,1.0,"Posterior auditory area, layer 6a"
456,1,147,153,1.0,1.0,1.0,"Posterior auditory area, layer 6b"
1018,1,147,153,1.0,1.0,1.0,Ventral auditory area
959,1,147,153,1.0,1.0,1.0,"Ventral auditory area, layer 1"
755,1,147,153,1.0,1.0,1.0,"Ventral auditory area, layer 2/3"
990,1,147,153,1.0,1.0,1.0,"Ventral auditory area, layer 4"
1023,1,147,153,1.0,1.0,1.0,"Ventral auditory area, layer 5"
520,1,147,153,1.0,1.0,1.0,"Ventral auditory area, layer 6a"
598,1,147,153,1.0,1.0,1.0,"Ventral auditory area, layer 6b"
669,8,133,140,1.0,1.0,1.0,Visual areas
801,8,133,140,1.0,1.0,1.0,"Visual areas, layer 1"
561,8,133,140,1.0,1.0,1.0,"Visual areas, layer 2/3"
913,8,133,140,1.0,1.0,1.0,"Visual areas, layer 4"
937,8,133,140,1.0,1.0,1.0,"Visual areas, layer 5"
457,8,133,140,1.0,1.0,1.0,"Visual areas, layer 6a"
497,8,133,140,1.0,1.0,1.0,"Visual areas, layer 6b"
402,8,133,140,1.0,1.0,1.0,Anterolateral visual area
1074,8,133,140,1.0,1.0,1.0,"Anterolateral visual area, layer 1"
905,8,133,140,1.0,1.0,1.0,"Anterolateral visual area, layer 2/3"
1114,8,133,140,1.0,1.0,1.0,"Anterolateral visual area, layer 4"
233,8,133,140,1.0,1.0,1.0,"Anterolateral visual area, layer 5"
601,8,133,140,1.0,1.0,1.0,"Anterolateral visual area, layer 6a"
649,8,133,140,1.0,1.0,1.0,"Anterolateral visual area, layer 6b"
394,8,133,140,1.0,1.0,1.0,Anteromedial visual area
281,8,133,140,1.0,1.0,1.0,"Anteromedial visual area, layer 1"
1066,8,133,140,1.0,1.0,1.0,"Anteromedial visual area, layer 2/3"
401,8,133,140,1.0,1.0,1.0,"Anteromedial visual area, layer 4"
433,8,133,140,1.0,1.0,1.0,"Anteromedial visual area, layer 5"
1046,8,133,140,1.0,1.0,1.0,"Anteromedial visual area, layer 6a"
441,8,133,140,1.0,1.0,1.0,"Anteromedial visual area, layer 6b"
409,8,133,140,1.0,1.0,1.0,Lateral visual area
421,8,133,140,1.0,1.0,1.0,"Lateral visual area, layer 1"
973,8,133,140,1.0,1.0,1.0,"Lateral visual area, layer 2/3"
573,8,133,140,1.0,1.0,1.0,"Lateral visual area, layer 4"
613,8,133,140,1.0,1.0,1.0,"Lateral visual area, layer 5"
74,8,133,140,1.0,1.0,1.0,"Lateral visual area, layer 6a"
121,8,133,140,1.0,1.0,1.0,"Lateral visual area, layer 6b"
385,8,133,140,1.0,1.0,1.0,Primary visual area
593,8,133,140,1.0,1.0,1.0,"Primary visual area, layer 1"
821,8,133,140,1.0,1.0,1.0,"Primary visual area, layer 2/3"
721,8,133,140,1.0,1.0,1.0,"Primary visual area, layer 4"
778,8,133,140,1.0,1.0,1.0,"Primary visual area, layer 5"
33,8,133,140,1.0,1.0,1.0,"Primary visual area, layer 6a"
305,8,133,140,1.0,1.0,1.0,"Primary visual area, layer 6b"
425,8,133,140,1.0,1.0,1.0,Posterolateral visual area
750,8,133,140,1.0,1.0,1.0,"Posterolateral visual area, layer 1"
269,8,133,140,1.0,1.0,1.0,"Posterolateral visual area, layer 2/3"
869,8,133,140,1.0,1.0,1.0,"Posterolateral visual area, layer 4"
902,8,133,140,1.0,1.0,1.0,"Posterolateral visual area, layer 5"
377,8,133,140,1.0,1.0,1.0,"Posterolateral visual area, layer 6a"
393,8,133,140,1.0,1.0,1.0,"Posterolateral visual area, layer 6b"
533,8,133,140,1.0,1.0,1.0,posteromedial visual area
805,8,133,140,1.0,1.0,1.0,"posteromedial visual area, layer 1"
41,8,133,140,1.0,1.0,1.0,"posteromedial visual area, layer 2/3"
501,8,133,140,1.0,1.0,1.0,"posteromedial visual area, layer 4"
565,8,133,140,1.0,1.0,1.0,"posteromedial visual area, layer 5"
257,8,133,140,1.0,1.0,1.0,"posteromedial visual area, layer 6a"
469,8,133,140,1.0,1.0,1.0,"posteromedial visual area, layer 6b"
312782574,8,133,140,1.0,1.0,1.0,Laterointermediate area
312782578,8,133,140,1.0,1.0,1.0,"Laterointermediate area, layer 1"
312782582,8,133,140,1.0,1.0,1.0,"Laterointermediate area, layer 2/3"
312782586,8,133,140,1.0,1.0,1.0,"Laterointermediate area, layer 4"
312782590,8,133,140,1.0,1.0,1.0,"Laterointermediate area, layer 5"
312782594,8,133,140,1.0,1.0,1.0,"Laterointermediate area, layer 6a"
312782598,8,133,140,1.0,1.0,1.0,"Laterointermediate area, layer 6b"
312782628,8,133,140,1.0,1.0,1.0,Postrhinal area
312782632,8,133,140,1.0,1.0,1.0,"Postrhinal area, layer 1"
312782636,8,133,140,1.0,1.0,1.0,"Postrhinal area, layer 2/3"
312782640,8,133,140,1.0,1.0,1.0,"Postrhinal area, layer 4"
312782644,8,133,140,1.0,1.0,1.0,"Postrhinal area, layer 5"
312782648,8,133,140,1.0,1.0,1.0,"Postrhinal area, layer 6a"
312782652,8,133,140,1.0,1.0,1.0,"Postrhinal area, layer 6b"
31,64,166,102,1.0,1.0,1.0,Anterior cingulate area
572,64,166,102,1.0,1.0,1.0,"Anterior cingulate area, layer 1"
1053,64,166,102,1.0,1.0,1.0,"Anterior cingulate area, layer 2/3"
739,64,166,102,1.0,1.0,1.0,"Anterior cingulate area, layer 5"
179,64,166,102,1.0,1.0,1.0,"Anterior cingulate area, layer 6a"
227,64,166,102,1.0,1.0,1.0,"Anterior cingulate area, layer 6b"
39,64,166,102,1.0,1.0,1.0,"Anterior cingulate area, dorsal part"
935,64,166,102,1.0,1.0,1.0,"Anterior cingulate area, dorsal part, layer 1"
211,64,166,102,1.0,1.0,1.0,"Anterior cingulate area, dorsal part, layer 2/3"
1015,64,166,102,1.0,1.0,1.0,"Anterior cingulate area, dorsal part, layer 5"
919,64,166,102,1.0,1.0,1.0,"Anterior cingulate area, dorsal part, layer 6a"
927,64,166,102,1.0,1.0,1.0,"Anterior cingulate area, dorsal part, layer 6b"
48,64,166,102,1.0,1.0,1.0,"Anterior cingulate area, ventral part"
588,64,166,102,1.0,1.0,1.0,"Anterior cingulate area, ventral part, layer 1"
296,64,166,102,1.0,1.0,1.0,"Anterior cingulate area, ventral part, layer 2/3"
772,64,166,102,1.0,1.0,1.0,"Anterior cingulate area, ventral part, layer 5"
810,64,166,102,1.0,1.0,1.0,"Anterior cingulate area, ventral part, 6a"
819,64,166,102,1.0,1.0,1.0,"Anterior cingulate area, ventral part, 6b"
972,47,168,80,1.0,1.0,1.0,Prelimbic area
171,47,168,80,1.0,1.0,1.0,"Prelimbic area, layer 1"
195,47,168,80,1.0,1.0,1.0,"Prelimbic area, layer 2"
304,47,168,80,1.0,1.0,1.0,"Prelimbic area, layer 2/3"
363,47,168,80,1.0,1.0,1.0,"Prelimbic area, layer 5"
84,47,168,80,1.0,1.0,1.0,"Prelimbic area, layer 6a"
132,47,168,80,1.0,1.0,1.0,"Prelimbic area, layer 6b"
44,89,179,99,1.0,1.0,1.0,Infralimbic area
707,89,179,99,1.0,1.0,1.0,"Infralimbic area, layer 1"
747,89,179,99,1.0,1.0,1.0,"Infralimbic area, layer 2"
556,89,179,99,1.0,1.0,1.0,"Infralimbic area, layer 2/3"
827,89,179,99,1.0,1.0,1.0,"Infralimbic area, layer 5"
1054,89,179,99,1.0,1.0,1.0,"Infralimbic area, layer 6a"
1081,89,179,99,1.0,1.0,1.0,"Infralimbic area, layer 6b"
714,36,138,94,1.0,1.0,1.0,Orbital area
264,36,138,94,1.0,1.0,1.0,"Orbital area, layer 1"
492,36,138,94,1.0,1.0,1.0,"Orbital area, layer 2/3"
352,36,138,94,1.0,1.0,1.0,"Orbital area, layer 5"
476,36,138,94,1.0,1.0,1.0,"Orbital area, layer 6a"
516,36,138,94,1.0,1.0,1.0,"Orbital area, layer 6b"
723,36,138,94,1.0,1.0,1.0,"Orbital area, lateral part"
448,36,138,94,1.0,1.0,1.0,"Orbital area, lateral part, layer 1"
412,36,138,94,1.0,1.0,1.0,"Orbital area, lateral part, layer 2/3"
630,36,138,94,1.0,1.0,1.0,"Orbital area, lateral part, layer 5"
440,36,138,94,1.0,1.0,1.0,"Orbital area, lateral part, layer 6a"
488,36,138,94,1.0,1.0,1.0,"Orbital area, lateral part, layer 6b"
731,36,138,94,1.0,1.0,1.0,"Orbital area, medial part"
484,36,138,94,1.0,1.0,1.0,"Orbital area, medial part, layer 1"
524,36,138,94,1.0,1.0,1.0,"Orbital area, medial part, layer 2"
582,36,138,94,1.0,1.0,1.0,"Orbital area, medial part, layer 2/3"
620,36,138,94,1.0,1.0,1.0,"Orbital area, medial part, layer 5"
910,36,138,94,1.0,1.0,1.0,"Orbital area, medial part, layer 6a"
738,36,138,94,1.0,1.0,1.0,"Orbital area, ventral part"
746,36,138,94,1.0,1.0,1.0,"Orbital area, ventrolateral part"
969,36,138,94,1.0,1.0,1.0,"Orbital area, ventrolateral part, layer 1"
288,36,138,94,1.0,1.0,1.0,"Orbital area, ventrolateral part, layer 2/3"
1125,36,138,94,1.0,1.0,1.0,"Orbital area, ventrolateral part, layer 5"
608,36,138,94,1.0,1.0,1.0,"Orbital area, ventrolateral part, layer 6a"
680,36,138,94,1.0,1.0,1.0,"Orbital area, ventrolateral part, layer 6b"
95,33,152,102,1.0,1.0,1.0,Agranular insular area
104,33,152,102,1.0,1.0,1.0,"Agranular insular area, dorsal part"
996,33,152,102,1.0,1.0,1.0,"Agranular insular area, dorsal part, layer 1"
328,33,152,102,1.0,1.0,1.0,"Agranular insular area, dorsal part, layer 2/3"
1101,33,152,102,1.0,1.0,1.0,"Agranular insular area, dorsal part, layer 5"
783,33,152,102,1.0,1.0,1.0,"Agranular insular area, dorsal part, layer 6a"
831,33,152,102,1.0,1.0,1.0,"Agranular insular area, dorsal part, layer 6b"
111,33,152,102,1.0,1.0,1.0,"Agranular insular area, posterior part"
120,33,152,102,1.0,1.0,1.0,"Agranular insular area, posterior part, layer 1"
163,33,152,102,1.0,1.0,1.0,"Agranular insular area, posterior part, layer 2/3"
344,33,152,102,1.0,1.0,1.0,"Agranular insular area, posterior part, layer 5"
314,33,152,102,1.0,1.0,1.0,"Agranular insular area, posterior part, layer 6a"
355,33,152,102,1.0,1.0,1.0,"Agranular insular area, posterior part, layer 6b"
119,33,152,102,1.0,1.0,1.0,"Agranular insular area, ventral part"
704,33,152,102,1.0,1.0,1.0,"Agranular insular area, ventral part, layer 1"
694,33,152,102,1.0,1.0,1.0,"Agranular insular area, ventral part, layer 2/3"
800,33,152,102,1.0,1.0,1.0,"Agranular insular area, ventral part, layer 5"
675,33,152,102,1.0,1.0,1.0,"Agranular insular area, ventral part, layer 6a"
699,33,152,102,1.0,1.0,1.0,"Agranular insular area, ventral part, layer 6b"
254,26,166,152,1.0,1.0,1.0,Retrosplenial area
894,26,166,152,1.0,1.0,1.0,"Retrosplenial area, lateral agranular part"
671,26,166,152,1.0,1.0,1.0,"Retrosplenial area, lateral agranular part, layer 1"
965,26,166,152,1.0,1.0,1.0,"Retrosplenial area, lateral agranular part, layer 2/3"
774,26,166,152,1.0,1.0,1.0,"Retrosplenial area, lateral agranular part, layer 5"
906,26,166,152,1.0,1.0,1.0,"Retrosplenial area, lateral agranular part, layer 6a"
279,26,166,152,1.0,1.0,1.0,"Retrosplenial area, lateral agranular part, layer 6b"
480149258,26,166,152,1.0,1.0,1.0,Mediomedial anterior visual area
480149262,26,166,152,1.0,1.0,1.0,"Mediomedial anterior visual area, layer 1"
480149266,26,166,152,1.0,1.0,1.0,"Mediomedial anterior visual area, layer 2/3"
480149270,26,166,152,1.0,1.0,1.0,"Mediomedial anterior visual area, layer 4"
480149274,26,166,152,1.0,1.0,1.0,"Mediomedial anterior visual area,layer 5"
480149278,26,166,152,1.0,1.0,1.0,"Mediomedial anterior visual area, layer 6a"
480149282,26,166,152,1.0,1.0,1.0,"Mediomedial anterior visual area, layer 6b"
480149286,26,166,152,1.0,1.0,1.0,Mediomedial posterior visual area
480149290,26,166,152,1.0,1.0,1.0,"Mediomedial posterior visual area, layer 1"
480149294,26,166,152,1.0,1.0,1.0,"Mediomedial posterior visual area, layer 2/3"
480149298,26,166,152,1.0,1.0,1.0,"Mediomedial posterior visual area, layer 4"
480149302,26,166,152,1.0,1.0,1.0,"Mediomedial posterior visual area,layer 5"
480149306,26,166,152,1.0,1.0,1.0,"Mediomedial posterior visual area, layer 6a"
480149310,26,166,152,1.0,1.0,1.0,"Mediomedial posterior visual area, layer 6b"
480149314,26,166,152,1.0,1.0,1.0,Medial visual area
480149318,26,166,152,1.0,1.0,1.0,"Medial visual area, layer 1"
480149322,26,166,152,1.0,1.0,1.0,"Medial visual area, layer 2/3"
480149326,26,166,152,1.0,1.0,1.0,"Medial visual area, layer 4"
480149330,26,166,152,1.0,1.0,1.0,"Medial visual area,layer 5"
480149334,26,166,152,1.0,1.0,1.0,"Medial visual area, layer 6a"
480149338,26,166,152,1.0,1.0,1.0,"Medial visual area, layer 6b"
879,26,166,152,1.0,1.0,1.0,"Retrosplenial area, dorsal part"
442,26,166,152,1.0,1.0,1.0,"Retrosplenial area, dorsal part, layer 1"
434,26,166,152,1.0,1.0,1.0,"Retrosplenial area, dorsal part, layer 2/3"
545,26,166,152,1.0,1.0,1.0,"Retrosplenial area, dorsal part, layer 4"
610,26,166,152,1.0,1.0,1.0,"Retrosplenial area, dorsal part, layer 5"
274,26,166,152,1.0,1.0,1.0,"Retrosplenial area, dorsal part, layer 6a"
330,26,166,152,1.0,1.0,1.0,"Retrosplenial area, dorsal part, layer 6b"
886,26,166,152,1.0,1.0,1.0,"Retrosplenial area, ventral part"
542,26,166,152,1.0,1.0,1.0,"Retrosplenial area, ventral part, layer 1"
606,26,166,152,1.0,1.0,1.0,"Retrosplenial area, ventral part, layer 2"
430,26,166,152,1.0,1.0,1.0,"Retrosplenial area, ventral part, layer 2/3"
687,26,166,152,1.0,1.0,1.0,"Retrosplenial area, ventral part, layer 5"
590,26,166,152,1.0,1.0,1.0,"Retrosplenial area, ventral part, layer 6a"
622,26,166,152,1.0,1.0,1.0,"Retrosplenial area, ventral part, layer 6b"
22,0,159,172,1.0,1.0,1.0,Posterior parietal association areas
532,0,159,172,1.0,1.0,1.0,"Posterior parietal association areas, layer 1"
241,0,159,172,1.0,1.0,1.0,"Posterior parietal association areas, layer 2/3"
635,0,159,172,1.0,1.0,1.0,"Posterior parietal association areas, layer 4"
683,0,159,172,1.0,1.0,1.0,"Posterior parietal association areas, layer 5"
308,0,159,172,1.0,1.0,1.0,"Posterior parietal association areas, layer 6a"
340,0,159,172,1.0,1.0,1.0,"Posterior parietal association areas, layer 6b"
312782546,0,159,172,1.0,1.0,1.0,Anterior area
312782550,0,159,172,1.0,1.0,1.0,"Anterior area, layer 1"
312782554,0,159,172,1.0,1.0,1.0,"Anterior area, layer 2/3"
312782558,0,159,172,1.0,1.0,1.0,"Anterior area, layer 4"
312782562,0,159,172,1.0,1.0,1.0,"Anterior area, layer 5"
312782566,0,159,172,1.0,1.0,1.0,"Anterior area, layer 6a"
312782570,0,159,172,1.0,1.0,1.0,"Anterior area, layer 6b"
417,0,159,172,1.0,1.0,1.0,Rostrolateral visual area
312782604,0,159,172,1.0,1.0,1.0,"Rostrolateral area, layer 1"
312782608,0,159,172,1.0,1.0,1.0,"Rostrolateral area, layer 2/3"
312782612,0,159,172,1.0,1.0,1.0,"Rostrolateral area, layer 4"
312782616,0,159,172,1.0,1.0,1.0,"Rostrolateral area, layer 5"
312782620,0,159,172,1.0,1.0,1.0,"Rostrolateral area, layer 6a"
312782624,0,159,172,1.0,1.0,1.0,"Rostrolateral area, layer 6b"
541,21,176,179,1.0,1.0,1.0,Temporal association areas
97,21,176,179,1.0,1.0,1.0,"Temporal association areas, layer 1"
1127,21,176,179,1.0,1.0,1.0,"Temporal association areas, layer 2/3"
234,21,176,179,1.0,1.0,1.0,"Temporal association areas, layer 4"
289,21,176,179,1.0,1.0,1.0,"Temporal association areas, layer 5"
729,21,176,179,1.0,1.0,1.0,"Temporal association areas, layer 6a"
786,21,176,179,1.0,1.0,1.0,"Temporal association areas, layer 6b"
922,14,150,132,1.0,1.0,1.0,Perirhinal area
335,14,150,132,1.0,1.0,1.0,"Perirhinal area, layer 6a"
368,14,150,132,1.0,1.0,1.0,"Perirhinal area, layer 6b"
540,14,150,132,1.0,1.0,1.0,"Perirhinal area, layer 1"
692,14,150,132,1.0,1.0,1.0,"Perirhinal area, layer 5"
888,14,150,132,1.0,1.0,1.0,"Perirhinal area, layer 2/3"
895,13,159,145,1.0,1.0,1.0,Ectorhinal area
836,13,159,145,1.0,1.0,1.0,Ectorhinal area/Layer 1
