idx,name,r,g,b,a,VIS,MSH
98,Cornu ammonis 1,217,104,13,1.0,1.0,0.0
99,Fasciola cinereum,255,0,0,1.0,1.0,0.0
100,Subiculum,255,192,0,1.0,1.0,0.0
108,Postrhinal cortex,40,112,130,1.0,1.0,0.0
109,Presubiculum,80,123,175,1.0,1.0,0.0
110,Parasubiculum,23,54,96,1.0,1.0,0.0
112,Perirhinal area 35,205,51,255,1.0,1.0,0.0
113,Perirhinal area 36,112,48,160,1.0,1.0,0.0
114,Medial entorhinal cortex,122,187,51,1.0,1.0,0.0
115,Lateral entorhinal cortex,90,111,47,1.0,1.0,0.0
119,Vestibular apparatus,0,144,55,1.0,1.0,0.0
120,Cochlea,0,255,28,1.0,1.0,0.0
121,Cochlear nerve,253,148,0,1.0,1.0,0.0
122,Vestibular nerve,253,50,0,1.0,1.0,0.0
123,"Ventral cochlear nucleus, granule cell layer",0,12,255,1.0,1.0,0.0
125,4th ventricle,52,29,144,1.0,1.0,0.0
126,"Dorsal cochlear nucleus, molecular layer",92,156,211,1.0,1.0,0.0
127,"Dorsal cochlear nucleus, fusiform and granule layer",0,80,156,1.0,1.0,0.0
128,"Dorsal cochlear nucleus, deep core",197,238,255,1.0,1.0,0.0
129,acoustic striae,255,217,0,1.0,1.0,0.0
130,trapezoid body,213,255,0,1.0,1.0,0.0
131,Nucleus of the trapezoid body,0,255,81,1.0,1.0,0.0
132,Superior paraolivary nucleus,0,238,255,1.0,1.0,0.0
133,Medial superior olive,219,239,61,1.0,1.0,0.0
134,Lateral superior olive,35,76,190,1.0,1.0,0.0
135,Superior periolivary region,1,153,21,1.0,1.0,0.0
136,Ventral periolivary nuclei,0,174,255,1.0,1.0,0.0
137,"Lateral lemniscus, ventral nucleus",255,0,115,1.0,1.0,0.0
138,"Lateral lemniscus, intermediate nucleus",171,16,91,1.0,1.0,0.0
139,"Lateral lemniscus, dorsal nucleus",108,18,91,1.0,1.0,0.0
140,"lateral lemniscus, commissure",255,29,0,1.0,1.0,0.0
141,"lateral lemniscus, unspecified",255,166,0,1.0,1.0,0.0
142,"Inferior colliculus, dorsal cortex",206,255,142,1.0,1.0,0.0
143,"Inferior colliculus, central nucleus",0,238,254,1.0,1.0,0.0
145,"Inferior colliculus, external cortex",48,136,203,1.0,1.0,0.0
146,"inferior colliculus, brachium",176,58,72,1.0,1.0,0.0
150,"Medial geniculate body, marginal zone",255,47,242,1.0,1.0,0.0
151,Primary auditory area,255,215,0,1.0,1.0,0.0
152,"Secondary auditory area, dorsal part",240,255,255,1.0,1.0,0.0
153,"Secondary auditory area, ventral part",216,191,216,1.0,1.0,0.0
157,"external medullary lamina, auditory radiation",244,156,255,1.0,1.0,0.0
158,"Ventral cochlear nucleus, anterior part",34,152,255,1.0,1.0,0.0
159,"Ventral cochlear nucleus, posterior part",0,230,207,1.0,1.0,0.0
160,"Ventral cochlear nucleus, cap area",0,255,106,1.0,1.0,0.0
162,Spiral ganglion,185,255,233,1.0,1.0,0.0
163,Nucleus sagulum,99,205,0,1.0,1.0,0.0
164,"Reticular (pre)thalamic nucleus, auditory segment",110,0,255,1.0,1.0,0.0
180,lateral olfactory tract,255,0,221,1.0,1.0,0.0
181,"Piriform cortex, layer 1",0,204,255,1.0,1.0,0.0
182,"Piriform cortex, layer 2",0,0,254,1.0,1.0,0.0
183,"Piriform cortex, layer 3",165,120,221,1.0,1.0,0.0
184,"Nucleus accumbens, core",230,216,250,1.0,1.0,0.0
187,"Substantia nigra, reticular part",99,197,18,1.0,1.0,0.0
188,"Substantia nigra, compact part",255,255,127,1.0,1.0,0.0
189,"Substantia nigra, lateral part",0,159,159,1.0,1.0,0.0
192,"Nucleus accumbens, shell",88,47,108,1.0,1.0,0.0
193,Ventral pallidum,0,162,255,1.0,1.0,0.0
195,"Globus pallidus external, medial part",255,85,255,1.0,1.0,0.0
196,Ventral tegmental area,127,255,212,1.0,1.0,0.0
197,Caudate putamen,129,79,155,1.0,1.0,0.0
198,"Globus pallidus external, lateral part",200,25,200,1.0,1.0,0.0
199,"Ventral striatal region, unspecified",220,20,60,1.0,1.0,0.0
200,"Reticular (pre)thalamic nucleus, unspecified",0,217,255,1.0,1.0,0.0
201,Peripeduncular nucleus,183,199,136,1.0,1.0,0.0
204,Pregeniculate nucleus,255,25,0,1.0,1.0,0.0
205,Dorsal lateral geniculate nucleus,255,226,0,1.0,1.0,0.0
206,Lateral habenular nucleus,217,108,0,1.0,1.0,0.0
207,Medial habenular nucleus,205,0,24,1.0,1.0,0.0
208,Posterior intralaminar nucleus,228,112,214,1.0,1.0,0.0
210,"Posterior thalamic nuclear group, triangular part",255,255,200,1.0,1.0,0.0
211,Parataenial thalamic nucleus,205,0,6,1.0,1.0,0.0
213,Anterodorsal thalamic nucleus,131,10,121,1.0,1.0,0.0
214,"Anteroventral thalamic nucleus, dorsomedial part",239,121,218,1.0,1.0,0.0
215,"Anteroventral thalamic nucleus, ventrolateral part",101,35,142,1.0,1.0,0.0
216,Rhomboid thalamic nucleus,0,255,17,1.0,1.0,0.0
218,Xiphoid thalamic nucleus,35,255,236,1.0,1.0,0.0
219,Reuniens thalamic nucleus,255,170,0,1.0,1.0,0.0
221,Ventromedial thalamic nucleus,0,185,126,1.0,1.0,0.0
222,Submedius thalamic nucleus,130,0,217,1.0,1.0,0.0
223,Angular thalamic nucleus,139,93,139,1.0,1.0,0.0
227,Ventral posteromedial thalamic nucleus,255,0,254,1.0,1.0,0.0
228,"Laterodorsal thalamic nucleus, dorsomedial part",255,123,0,1.0,1.0,0.0
229,"Laterodorsal thalamic nucleus, ventrolateral part",43,153,31,1.0,1.0,0.0
230,Posterior thalamic nucleus,255,255,2,1.0,1.0,0.0
231,Ventrolateral thalamic nucleus,170,170,255,1.0,1.0,0.0
232,"Mediodorsal thalamic nucleus, lateral part",255,85,127,1.0,1.0,0.0
233,"Mediodorsal thalamic nucleus, central part",85,170,0,1.0,1.0,0.0
235,"Zona incerta, dorsal part",216,191,217,1.0,1.0,0.0
236,"Zona incerta, ventral part",75,200,138,1.0,1.0,0.0
238,"Zona incerta, A13 dopamine cells",194,71,79,1.0,1.0,0.0
239,pretectothalamic lamina,219,143,247,1.0,1.0,0.0
240,"Mediodorsal thalamic nucleus, medial part",170,255,255,1.0,1.0,0.0
242,Paraventricular thalamic nuclei (anterior and posterior),156,51,51,1.0,1.0,0.0
246,Paracentral thalamic nucleus,240,248,255,1.0,1.0,0.0
247,Central medial thalamic nucleus,224,182,64,1.0,1.0,0.0
248,Central lateral thalamic nucleus,153,50,204,1.0,1.0,0.0
249,"external medullary lamina, unspecified",170,255,0,1.0,1.0,0.0
254,Anteromedial thalamic nucleus,0,85,255,1.0,1.0,0.0
255,Interanteromedial thalamic nucleus,248,117,222,1.0,1.0,0.0
257,"Zona incerta, rostral part",30,144,255,1.0,1.0,0.0
260,Intermediodorsal thalamic nucleus,160,82,45,1.0,1.0,0.0
266,"Ventral posterior nucleus of the thalamus, parvicellular part",0,255,8,1.0,1.0,0.0
267,Parafascicular thalamic nucleus,255,239,213,1.0,1.0,0.0
268,Retroreuniens thalamic nucleus,0,0,205,1.0,1.0,0.0
270,superior cerebellar peduncle and prerubral field,210,182,140,1.0,1.0,0.0
272,Intergeniculate leaflet,0,0,128,1.0,1.0,0.0
278,Subparafascicular nucleus,233,150,122,1.0,1.0,0.0
280,Fields of Forel,255,250,250,1.0,1.0,0.0
281,Subgeniculate nucleus,147,112,219,1.0,1.0,0.0
282,Ethmoid-Limitans nucleus,131,50,128,1.0,1.0,0.0
283,"Lateral posterior thalamic nucleus, lateral part",199,87,61,1.0,1.0,0.0
284,"Zona incerta, A11 dopamine cells",255,182,193,1.0,1.0,0.0
285,"Lateral posterior thalamic nucleus, mediorostral part",60,179,113,1.0,1.0,0.0
286,"Lateral posterior thalamic nucleus, mediocaudal part",255,235,205,1.0,1.0,0.0
287,"Zona incerta, caudal part",255,228,196,1.0,1.0,0.0
290,intramedullary thalamic area,155,148,111,1.0,1.0,0.0
291,internal medullary lamina,255,92,10,1.0,1.0,0.0
293,Ventral anterior thalamic nucleus,255,136,0,1.0,1.0,0.0
294,Ventral posterolateral thalamic nucleus,171,86,62,1.0,1.0,0.0
295,"Medial geniculate body, dorsal division",239,163,0,1.0,1.0,0.0
297,"Medial geniculate body, medial division",10,244,217,1.0,1.0,0.0
298,"Medial geniculate body, ventral division",131,58,31,1.0,1.0,0.0
299,"Medial geniculate body, suprageniculate nucleus",10,244,150,1.0,1.0,0.0
400,Ventrolateral orbital area,255,0,1,1.0,1.0,0.0
401,Lateral orbital area,255,174,201,1.0,1.0,0.0
402,Ventral orbital area,200,191,231,1.0,1.0,0.0
403,Medial orbital area,63,72,204,1.0,1.0,0.0
404,Dorsolateral orbital area,185,122,87,1.0,1.0,0.0
405,Prelimbic area,163,73,164,1.0,1.0,0.0
406,Secondary motor area,0,162,232,1.0,1.0,0.0
407,Frontal association area 3,136,0,21,1.0,1.0,0.0
408,Primary motor area,153,217,234,1.0,1.0,0.0
409,"Agranular insular cortex, ventral area",255,201,14,1.0,1.0,0.0
410,Agranular insular cortex dorsal area ,255,127,39,1.0,1.0,0.0
411,Cingulate area 1,0,128,128,1.0,1.0,0.0
412,Claustrum,153,217,200,1.0,1.0,0.0
413,Infralimbic area,34,177,76,1.0,1.0,0.0
414,Dysgranular insular cortex,255,242,0,1.0,1.0,0.0
416,Granular insular cortex,239,228,176,1.0,1.0,0.0
417,"Primary somatosensory area, forelimb representation",185,14,131,1.0,1.0,0.0
418,"Primary somatosensory area, dysgranular zone",237,28,36,1.0,1.0,0.0
420,"Primary somatosensory area, face representation",255,128,192,1.0,1.0,0.0
422,Secondary somatosensory area,200,100,250,1.0,1.0,0.0
423,"Primary somatosensory area, hindlimb representation",136,100,21,1.0,1.0,0.0
424,"Agranular insular cortex, posterior area ",181,230,29,1.0,1.0,0.0
425,"Primary somatosensory area, barrel field",120,177,76,1.0,1.0,0.0
427,Retrosplenial dysgranular area,200,73,164,1.0,1.0,0.0
429,"Primary somatosensory area, trunk representation",225,150,201,1.0,1.0,0.0
430,Retrosplenial granular area,25,100,200,1.0,1.0,0.0
432,"Parietal association cortex, lateral area",255,240,29,1.0,1.0,0.0
433,"Parietal association cortex, medial area",108,0,108,1.0,1.0,0.0
436,"Parietal association cortex, posterior area ",128,0,64,1.0,1.0,0.0
442,Primary visual area,84,52,35,1.0,1.0,0.0
443,"Secondary visual area, lateral part",255,100,100,1.0,1.0,0.0
444,Temporal association cortex,0,128,0,1.0,1.0,0.0
448,"Secondary visual area, medial part",128,0,100,1.0,1.0,0.0
500,Endopiriform nucleus,1,10,100,1.0,1.0,0.0
501,"Amygdaloid area, unspecified",2,20,200,1.0,1.0,0.0
502,Nucleus of the lateral olfactory tract,230,184,67,1.0,1.0,0.0
